Time,open,high,low,close,volume
2020-07-07,0.94188,0.94532,0.94085,0.94251,136003.86995
2020-07-08,0.94252,0.94327,0.937,0.93832,142161.49001
2020-07-09,0.93831,0.94104,0.93623,0.94037,173388.48999
2020-07-10,0.94033,0.94314,0.93849,0.94119,122441.16001
2020-07-12,0.94066,0.94115,0.9402,0.94057,5409.02
2020-07-13,0.94057,0.94378,0.93924,0.94183,166358.15991
2020-07-14,0.94182,0.94246,0.93801,0.93948,170412.22002
2020-07-15,0.93946,0.94575,0.93703,0.94399,146837.45999
2020-07-16,0.94399,0.9468,0.94294,0.94539,182097.75999
2020-07-17,0.94538,0.94588,0.93802,0.93863,101114.02002
2020-07-19,0.9401,0.94057,0.93814,0.9384,6812.14999
2020-07-20,0.93843,0.94103,0.93741,0.93888,157060.41013
2020-07-21,0.93887,0.93984,0.93213,0.93248,170327.4401
2020-07-22,0.93248,0.93518,0.92867,0.9299,262113.55989
2020-07-23,0.9299,0.92991,0.92454,0.92539,186821.87011
2020-07-24,0.92536,0.92607,0.92046,0.92055,233842.12026
2020-07-26,0.92153,0.92205,0.9208,0.92109,10716.4
2020-07-27,0.92108,0.92304,0.91663,0.91961,193063.59009
2020-07-28,0.91962,0.9228,0.91553,0.91797,195878.81006
2020-07-29,0.91798,0.91877,0.91172,0.91257,189033.34002
2020-07-30,0.91256,0.91514,0.90809,0.90864,200466.37004
2020-07-31,0.90864,0.9149,0.90563,0.91355,230310.54998
2020-08-02,0.91424,0.91426,0.91279,0.91356,21152.78008
2020-08-03,0.91355,0.9242,0.91325,0.91768,204521.24015
2020-08-04,0.91769,0.91885,0.91253,0.91265,159148.84002
2020-08-05,0.91265,0.91352,0.90504,0.90809,148276.30004
2020-08-06,0.9081,0.91292,0.90656,0.90999,217499.34998
2020-08-07,0.90999,0.91582,0.90969,0.91241,182356.54013
2020-08-09,0.91269,0.91329,0.91217,0.91281,6217.37
2020-08-10,0.91278,0.91844,0.9122,0.91564,148216.13016
2020-08-11,0.91563,0.91779,0.91054,0.91752,244321.24002
2020-08-12,0.91751,0.9198,0.9097,0.91183,191073.14046
2020-08-13,0.91183,0.91201,0.90821,0.90972,160299.6702
2020-08-14,0.90973,0.9123,0.9087,0.90908,320835.74848
2020-08-16,0.90932,0.90953,0.90868,0.90879,3538.84
2020-08-17,0.9088,0.90969,0.90514,0.90658,148160.24039
2020-08-18,0.90661,0.90671,0.90098,0.9028,197014.3905
