Indicator_Num,Indicator_Name,Entry_Params,Exit_Params,Entry_Combinations,Exit_Combinations,Total_Combinations
125,125_trend_vhf,period,"tp_pips, sl_pips",20,156,3120
126,126_trend_trendstrengthindex,period,"tp_pips, sl_pips",20,156,3120
127,127_trend_rsquared,period,"tp_pips, sl_pips",20,156,3120
128,128_trend_pricechannels,period,"tp_pips, sl_pips",20,156,3120
129,129_trend_envelopechannels,"period, percent","tp_pips, sl_pips",400,156,62400
130,130_trend_stdchannels,"period, std_mult","tp_pips, sl_pips",120,156,18720
131,131_trend_regressionchannels,"period, std_mult","tp_pips, sl_pips",120,156,18720
132,132_trend_fibonaccichannels,period,"tp_pips, sl_pips",20,156,3120
133,133_trend_accelerationbands,"period, factor","tp_pips, sl_pips",400,156,62400
134,134_trend_starcbands,"ma_period, atr_period, atr_mult","tp_pips, sl_pips",1680,156,262080
136,136_trend_chandelierexit,"period, atr_mult","tp_pips, sl_pips",160,156,24960
137,137_trend_atrchannels,"ma_period, atr_period, atr_mult","tp_pips, sl_pips",2400,156,374400
138,138_trend_volatilitychannels,"period, vol_mult","tp_pips, sl_pips",400,156,62400
139,139_trend_dynamicchannels,"min_period, max_period, mult","tp_pips, sl_pips",2400,156,374400
140,140_trend_adaptivechannels,"period, threshold","tp_pips, sl_pips",400,156,62400
141,141_trend_projectionbands,"period, projection, std_mult","tp_pips, sl_pips",1680,156,262080
142,142_trend_squeezeindicator,"bb_period, bb_mult, kc_period, kc_mult","tp_pips, sl_pips",48000,156,7488000
143,143_trend_ttmsqueeze,"length, mult, length_kc, mult_kc","tp_pips, sl_pips",48000,156,7488000
144,144_trend_bollingerbandwidth,"period, std_mult","tp_pips, sl_pips",120,156,18720
145,145_volume_divergenceindex,"period, threshold","tp_pips, sl_pips",400,156,62400
146,146_volume_hiddendivergence,"period, threshold","tp_pips, sl_pips",400,156,62400
147,147_volume_regulardivergence,"period, threshold","tp_pips, sl_pips",400,156,62400
148,148_volume_bullishdivergence,"period, threshold","tp_pips, sl_pips",400,156,62400
149,149_volume_bearishdivergence,"period, threshold","tp_pips, sl_pips",400,156,62400
150,150_volume_multiindicatordivergence,"period, threshold","tp_pips, sl_pips",400,156,62400
151,151_volume_divergencestrength,"period, lookback","tp_pips, sl_pips",400,156,62400
152,152_volume_divergenceconfluence,"period, threshold","tp_pips, sl_pips",400,156,62400
153,153_volume_divergencemomentum,"period, lookback","tp_pips, sl_pips",400,156,62400
154,154_volume_divergencepattern,"period, threshold","tp_pips, sl_pips",400,156,62400
155,155_pattern_candlestickpatterns,body_threshold,"tp_pips, sl_pips",20,156,3120
156,156_pattern_priceaction,"lookback, min_body_ratio","tp_pips, sl_pips",400,156,62400
157,157_pattern_chartpatterns,"lookback, tolerance","tp_pips, sl_pips",400,156,62400
158,158_pattern_harmonicpatterns,"lookback, tolerance","tp_pips, sl_pips",400,156,62400
159,159_pattern_elliottwave,"lookback, wave_tolerance","tp_pips, sl_pips",400,156,62400
160,160_pattern_wyckoff,"period, volume_threshold","tp_pips, sl_pips",400,156,62400
161,161_pattern_supportresistance,"lookback, num_levels, proximity","tp_pips, sl_pips",3200,156,499200
162,162_pattern_trendlines,"lookback, min_touches, tolerance","tp_pips, sl_pips",2400,156,374400
163,163_pattern_fibonacciretracement,"lookback, proximity","tp_pips, sl_pips",400,156,62400
164,164_pattern_fibonacciextension,"lookback, proximity","tp_pips, sl_pips",400,156,62400
166,166_volatility_garch,"period, alpha, beta","tp_pips, sl_pips",8000,156,1248000
167,167_volatility_ewma,"span, lambda_param","tp_pips, sl_pips",400,156,62400
168,168_volatility_coefficient_variation,"period, threshold","tp_pips, sl_pips",400,156,62400
169,169_volatility_regime_detection,"period, threshold","tp_pips, sl_pips",400,156,62400
170,170_volatility_breakout,"period, multiplier, threshold, overbought, oversold","tp_pips, sl_pips",800000,156,124800000
171,171_range_true_range,"period, threshold","tp_pips, sl_pips",400,156,62400
172,172_range_daily,period,"tp_pips, sl_pips",20,156,3120
173,173_range_weekly,period,"tp_pips, sl_pips",11,156,1716
174,174_range_monthly,period,"tp_pips, sl_pips",8,156,1248
175,175_range_expansion_index,"period, threshold","tp_pips, sl_pips",400,156,62400
176,176_range_contraction_index,"period, threshold","tp_pips, sl_pips",400,156,62400
177,177_range_breakout,"period, threshold","tp_pips, sl_pips",400,156,62400
178,178_range_bound,"period, threshold","tp_pips, sl_pips",400,156,62400
179,179_range_filter,"period, multiplier","tp_pips, sl_pips",400,156,62400
180,180_range_adaptive,"period, fast_period, slow_period","tp_pips, sl_pips",5600,156,873600
181,181_volume_weighted_price,period,"tp_pips, sl_pips",20,156,3120
182,182_volume_momentum,"period, threshold","tp_pips, sl_pips",400,156,62400
183,183_volume_trend,period,"tp_pips, sl_pips",20,156,3120
184,184_volume_oscillator,"fast_period, slow_period","tp_pips, sl_pips",280,156,43680
185,185_volume_divergence,"period, lookback","tp_pips, sl_pips",280,156,43680
186,186_volume_spread_analysis,"period, threshold","tp_pips, sl_pips",400,156,62400
187,187_volume_profile,"period, bins","tp_pips, sl_pips",400,156,62400
188,188_volume_price_trend,period,"tp_pips, sl_pips",20,156,3120
189,189_volume_roc,"period, threshold","tp_pips, sl_pips",400,156,62400
190,190_volume_weighted_average_price,"period, std_mult","tp_pips, sl_pips",120,156,18720
191,191_volume_zone_oscillator,period,"tp_pips, sl_pips",20,156,3120
192,192_volume_accumulation_distribution,period,"tp_pips, sl_pips",20,156,3120
193,193_volume_price_confirmation,"short_period, long_period","tp_pips, sl_pips",280,156,43680
194,194_volume_intensity,"period, threshold","tp_pips, sl_pips",400,156,62400
195,195_volume_force_index,"short_period, long_period","tp_pips, sl_pips",120,156,18720
196,196_volume_weighted_momentum,period,"tp_pips, sl_pips",20,156,3120
197,197_volume_efficiency,period,"tp_pips, sl_pips",20,156,3120
198,198_volume_delta,period,"tp_pips, sl_pips",20,156,3120
199,199_volume_flow_indicator,"period, threshold","tp_pips, sl_pips",40,156,6240
200,200_volume_spread_analysis,"period, vol_threshold","tp_pips, sl_pips",400,156,62400
201,201_volume_profile,"period, bins","tp_pips, sl_pips",400,156,62400
202,202_volume_at_price,"period, price_tolerance","tp_pips, sl_pips",400,156,62400
203,203_point_of_control,"period, bins","tp_pips, sl_pips",400,156,62400
204,204_value_area_high,"period, bins, value_area_pct","tp_pips, sl_pips",8000,156,1248000
205,205_value_area_low,"period, bins, value_area_pct","tp_pips, sl_pips",8000,156,1248000
206,206_volume_weighted_ma,period,"tp_pips, sl_pips",20,156,3120
207,207_volume_spread_analysis,"period, threshold","tp_pips, sl_pips",400,156,62400
208,208_wyckoff_volume,,"tp_pips, sl_pips",1,156,156
209,209_smart_money_index,period,"tp_pips, sl_pips",20,156,3120
210,210_tick_volume_index,period,"tp_pips, sl_pips",20,156,3120
211,211_volume_breakout,,"tp_pips, sl_pips",1,156,156
212,212_volume_climax,"period, threshold","tp_pips, sl_pips",400,156,62400
213,213_volume_exhaustion,"period, threshold","tp_pips, sl_pips",400,156,62400
214,214_volume_divergence,period,"tp_pips, sl_pips",20,156,3120
215,215_volume_confirmation,"period, vol_threshold","tp_pips, sl_pips",400,156,62400
216,216_volume_momentum,period,"tp_pips, sl_pips",20,156,3120
217,217_volume_strength,period,"tp_pips, sl_pips",20,156,3120
218,218_volume_pressure,period,"tp_pips, sl_pips",20,156,3120
219,219_volume_distribution,period,"tp_pips, sl_pips",20,156,3120
220,220_volume_cycle,"period, cycle_length","tp_pips, sl_pips",400,156,62400
221,221_tick_volume,"period, threshold","tp_pips, sl_pips",400,156,62400
222,222_trade_volume,period,"tp_pips, sl_pips",20,156,3120
223,223_buy_volume,period,"tp_pips, sl_pips",20,156,3120
224,224_sell_volume,period,"tp_pips, sl_pips",20,156,3120
225,225_delta_volume,period,"tp_pips, sl_pips",20,156,3120
226,226_cumulative_delta,period,"tp_pips, sl_pips",20,156,3120
227,227_volume_imbalance,"period, threshold","tp_pips, sl_pips",400,156,62400
228,228_order_flow,period,"tp_pips, sl_pips",20,156,3120
